gene	ncbi_gene_id	ncbi_protein_id	uniprot_id	description
mtm:MYCTH_109373	ncbi-geneid:11506519	ncbi-proteinid:XP_003666546	up:G2QNS7	hypothetical protein
mtm:MYCTH_109377	ncbi-geneid:11506508	ncbi-proteinid:XP_003666535	up:G2QNR6	hypothetical protein
mtm:MYCTH_109444	ncbi-geneid:11513524	ncbi-proteinid:XP_003665777	up:G2QKQ0	glycoside hydrolase family 12 protein
mtm:MYCTH_109499	ncbi-geneid:11505392	ncbi-proteinid:XP_003660950	up:G2PZL9	general substrate transporter
mtm:MYCTH_109510	ncbi-geneid:11511559	ncbi-proteinid:XP_003660910	up:G2PZH9	heat shock-like protein
mtm:MYCTH_109530	ncbi-geneid:11505543	ncbi-proteinid:XP_003660875	up:G2Q752	hypothetical protein
mtm:MYCTH_109533	ncbi-geneid:11508689	ncbi-proteinid:XP_003660873	up:G2Q750	hypothetical protein
mtm:MYCTH_109542	ncbi-geneid:11505457	ncbi-proteinid:XP_003660860	up:G2Q737	alternative oxidase
mtm:MYCTH_109566	ncbi-geneid:11505696	ncbi-proteinid:XP_003660789	up:G2Q665	glycoside hydrolase family 7 protein
mtm:MYCTH_109620	ncbi-geneid:11505935	ncbi-proteinid:XP_003660638	up:G2Q4V4	delta-9 acyl-CoA desaturase
mtm:MYCTH_109638	ncbi-geneid:11508244	ncbi-proteinid:XP_003660582	up:G2Q4E2	methylsterol monooxygenase
mtm:MYCTH_109756	ncbi-geneid:11505572	ncbi-proteinid:XP_003660281	up:G2Q203	hypothetical protein
mtm:MYCTH_109790	ncbi-geneid:11514350	ncbi-proteinid:XP_003666213	up:G2QLY8	hypothetical protein
