Gene,KEGG_definition,KEGG
MYCTH_2071301,MAPK signaling pathway - yeast;Cell cycle - yeast,mtm04011;mtm04111
MYCTH_2071423,MAPK signaling pathway - yeast;Cell cycle - yeast,mtm04011;mtm04111
MYCTH_2073127,Protein export;Protein processing in endoplasmic reticulum;Phagosome,mtm03060;mtm04141;mtm04145
MYCTH_2073197,Phagosome,mtm04145
MYCTH_2073265,Autophagy - yeast,mtm04138
MYCTH_2073591,mRNA surveillance pathway;Cell cycle - yeast;Meiosis - yeast;Autophagy - other;Autophagy - yeast,mtm03015;mtm04111;mtm04113;mtm04136;mtm04138
MYCTH_2073656,Ubiquitin mediated proteolysis,mtm04120
MYCTH_2074210,Histidine metabolism;Metabolic pathways,mtm00340;mtm01100
MYCTH_2074571,Phagosome,mtm04145
MYCTH_2074876,Ubiquitin mediated proteolysis,mtm04120
MYCTH_2074905,Pentose phosphate pathway;Glutathione metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00030;mtm00480;mtm01100;mtm01110;mtm01200
MYCTH_2075489,Ribosome,mtm03010
MYCTH_2075738,Folate biosynthesis,mtm00790
MYCTH_2075799,Aminoacyl-tRNA biosynthesis,mtm00970
MYCTH_2075999,"Phenylalanine, tyrosine and tryptophan biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids",mtm00400;mtm01100;mtm01110;mtm01230
MYCTH_2076088,Riboflavin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00740;mtm01100;mtm01110;mtm01240
MYCTH_2076503,Proteasome,mtm03050
MYCTH_2077959,Cell cycle - yeast,mtm04111
MYCTH_2078031,Ribosome,mtm03010
MYCTH_2078128,Purine metabolism;One carbon pool by folate;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00230;mtm00670;mtm01100;mtm01110
MYCTH_2079764,N-Glycan biosynthesis,mtm00510
MYCTH_2079768,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
