Gene,GOID,DEFINITION,ONTOLOGY,TERM
MYCTH_2082154,GO:0003735,The action of a molecule that contributes to the structural integrity of the ribosome.,MF,structural constituent of ribosome
MYCTH_2087754,GO:0008080,Catalysis of the transfer of an acetyl group to a nitrogen atom on the acceptor molecule.,MF,N-acetyltransferase activity
MYCTH_2312817,GO:0008033,"The process in which a pre-tRNA molecule is converted to a mature tRNA, ready for addition of an aminoacyl group.",BP,tRNA processing
MYCTH_2312817,GO:0006396,Any process involved in the conversion of one or more primary RNA transcripts into one or more mature RNA molecules.,BP,RNA processing
MYCTH_2307166,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2303514,GO:0005524,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF,ATP binding
MYCTH_2303514,GO:0004672,"Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.",MF,protein kinase activity
MYCTH_2310878,GO:0003723,Interacting selectively and non-covalently with an RNA molecule or a portion thereof.,MF,RNA binding
MYCTH_2295989,GO:0000015,"A multimeric enzyme complex, usually a dimer or an octamer, that catalyzes the conversion of 2-phospho-D-glycerate to phosphoenolpyruvate and water.",CC,phosphopyruvate hydratase complex
MYCTH_2296602,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2299193,GO:0043015,Interacting selectively and non-covalently with the microtubule constituent protein gamma-tubulin.,MF,gamma-tubulin binding
MYCTH_2299193,GO:0000226,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising microtubules and their associated proteins.",BP,microtubule cytoskeleton organization
MYCTH_2141524,GO:0005096,"Binds to and increases the activity of a GTPase, an enzyme that catalyzes the hydrolysis of GTP.",MF,GTPase activator activity
MYCTH_2300833,GO:0001510,Posttranscriptional addition of a methyl group to either a nucleotide or 2'-O ribose in a polyribonucleotide. Usually uses S-adenosylmethionine as a cofactor.,BP,RNA methylation
MYCTH_2300833,GO:0008168,Catalysis of the transfer of a methyl group to an acceptor molecule.,MF,methyltransferase activity
MYCTH_2300833,GO:0008649,Catalysis of the transfer of a methyl group from S-adenosyl-L-methionine to a nucleoside residue in an rRNA molecule.,MF,rRNA methyltransferase activity
MYCTH_2300833,GO:0005634,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.",CC,nucleus
MYCTH_2122073,GO:0003735,The action of a molecule that contributes to the structural integrity of the ribosome.,MF,structural constituent of ribosome
MYCTH_2296919,GO:0003682,"Interacting selectively and non-covalently with chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase.",MF,chromatin binding
MYCTH_2296919,GO:0005524,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF,ATP binding
MYCTH_2112475,GO:0004190,"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which a water molecule bound by the side chains of aspartic residues at the active center acts as a nucleophile.",MF,aspartic-type endopeptidase activity
MYCTH_2311843,GO:0006886,"The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell.",BP,intracellular protein transport
MYCTH_2311843,GO:0016192,"A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane.",BP,vesicle-mediated transport
MYCTH_2309912,GO:0003924,Catalysis of the reaction: GTP + H2O = GDP + phosphate.,MF,GTPase activity
MYCTH_2309912,GO:0005525,"Interacting selectively and non-covalently with GTP, guanosine triphosphate.",MF,GTP binding
MYCTH_2298114,GO:0016409,Catalysis of the transfer of a palmitoyl (CH3-[CH2]14-CO-) group to an acceptor molecule.,MF,palmitoyltransferase activity
MYCTH_2294854,GO:0003677,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).,MF,DNA binding
MYCTH_2306977,GO:0016021,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,CC,integral component of membrane
MYCTH_2300653,GO:0006400,The covalent alteration of one or more nucleotides within a tRNA molecule to produce a tRNA molecule with a sequence that differs from that coded genetically.,BP,tRNA modification
