Sample ID	Sample Name	Experiment	Run	Series Accession	Study Title	Species	Model	Library Seletion	Library Source	Library Strategy	Samples	Strain	Carbon Sources	Temperature	Time	Year
mt008013	GSM5556648,GSM5556649	 SRX12008464, SRX12008465	SRR15712834,SRR15712835	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BS7.8_Clr1_ex_R1,BS7.8_Clr1_ex_R2	BS7.8	Glucose	45°	exponential_state	2021 Sep
mt008014	GSM5556650,GSM5556651	 SRX12008466, SRX12008467	SRR15712836,SRR15712837	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BS7.8_Clr1_SS_R1,BS7.8_Clr1_SS_R2	BS7.8	Glucose	45°	steady_state	2021 Sep
mt008015	GSM5556652,GSM5556653	 SRX12008468, SRX12008469	SRR15712838,SRR15712839	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BS7.8_Clr1_t1_R1,BS7.8_Clr1_t1_R2	BS7.8	Cellulose 	45°	0.5h	2021 Sep
mt008016	GSM5556654,GSM5556655	 SRX12008470, SRX12008471	SRR15712840,SRR15712841	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BS7.8_Clr1_t2_R1,BS7.8_Clr1_t2_R2	BS7.8	Cellulose 	45°	1h	2021 Sep
mt008017	GSM5556656,GSM5556657	 SRX12008472, SRX12008473	SRR15712842,SRR15712843	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BS7.8_Clr1_t3_R1,BS7.8_Clr1_t3_R2	BS7.8	Cellulose 	45°	2h	2021 Sep
mt008018	GSM5556658,GSM5556659	 SRX12008474, SRX12008475	SRR15712844,SRR15712845	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BS7.8_Clr1_t4_R1,BS7.8_Clr1_t4_R2	BS7.8	Cellulose 	45°	4h	2021 Sep
mt008019	GSM5556660,GSM5556661	 SRX12008476, SRX12008477	SRR15712846,SRR15712847	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	JK2.8_Clr4_ex_R1,JK2.8_Clr4_ex_R2	JK2.8 	Glucose	45°	exponential_state	2021 Sep
mt008020	GSM5556662,GSM5556663	 SRX12008478, SRX12008479	SRR15712848,SRR15712849	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	JK2.8_Clr4_SS_R1,JK2.8_Clr4_SS_R2	JK2.8 	Glucose	45°	steady_state	2021 Sep
mt008021	GSM5556664,GSM5556665	 SRX12008480, SRX12008481	SRR15712850,SRR15712851	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	JK2.8_Clr4_t1_R1,JK2.8_Clr4_t1_R2	JK2.8 	Cellulose 	45°	0.5h	2021 Sep
mt008022	GSM5556666,GSM5556667	 SRX12008482, SRX12008483	SRR15712852,SRR15712853	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	JK2.8_Clr4_t2_R1,JK2.8_Clr4_t2_R2	JK2.8 	Cellulose 	45°	1h	2021 Sep
